"CustomerId","AccountType","RegionCode","LoyaltyScore","MarketingOptIn","JoinDate"
15634602,"Basic","N3",71,0,"2024-06-24"
15647311,"Premium","N2",60,0,"2024-05-01"
15619304,"Plus","W1",30,0,"2025-05-31"
15701354,"Plus","S1",12,1,"2025-01-07"
15737888,"Basic","S2",49,0,"2024-07-25"
15574012,"Basic","S1",95,0,"2024-04-30"
15592531,"Basic","N3",82,0,"2024-07-19"
15656148,"Premium","S1",46,0,"2025-04-19"
15792365,"Plus","N1",43,0,"2024-10-22"
15592389,"Plus","S2",2,0,"2024-02-09"
15767821,"Basic","S1",97,0,"2024-07-23"
15737173,"Premium","N1",75,0,"2024-03-08"
15632264,"Plus","N2",98,0,"2024-07-01"
15691483,"Basic","S1",80,1,"2024-10-18"
15600882,"Basic","S2",54,0,"2023-09-07"
15643966,"Basic","N1",35,1,"2023-03-21"
15737452,"Basic","S1",52,1,"2023-01-15"
15788218,"Basic","N2",33,0,"2023-02-09"
15661507,"Basic","S1",85,1,"2023-03-22"
15568982,"Basic","N1",84,0,"2024-05-24"
15577657,"Plus","S1",72,0,"2023-11-03"
15597945,"Basic","S2",51,0,"2024-12-05"
15699309,"Basic","N3",26,0,"2024-02-01"
15725737,"Basic","N1",97,0,"2024-11-08"
15625047,"Basic","N1",62,0,"2025-05-14"
15738191,"Plus","N1",61,1,"2023-07-23"
15736816,"Basic","N1",26,0,"2023-07-30"
15700772,"Basic","S1",37,0,"2024-02-03"
15728693,"Plus","S2",30,1,"2024-01-08"
15656300,"Basic","N2",95,1,"2024-01-24"
15589475,"Plus","S2",97,1,"2023-09-15"
15706552,"Basic","N1",11,1,"2023-04-25"
15750181,"Basic","W1",53,0,"2023-11-30"
15659428,"Premium","S1",41,0,"2023-12-15"
15732963,"Premium","W1",5,0,"2023-08-21"
15794171,"Plus","S1",66,1,"2024-05-23"
15729599,"Basic","N1",13,0,"2024-03-24"
15717426,"Basic","S1",63,0,"2023-03-18"
15585768,"Plus","N1",82,0,"2025-04-07"
15619360,"Basic","S2",90,0,"2024-08-30"
15738148,"Basic","N3",25,0,"2023-04-08"
15687946,"Basic","S1",44,0,"2024-07-21"
15755196,"Basic","N1",14,0,"2024-09-21"
15684171,"Premium","W1",69,0,"2024-04-06"
15754849,"Basic","N1",59,1,"2024-05-14"
15602280,"Plus","W1",56,1,"2024-09-22"
15771573,"Basic","S1",52,0,"2023-02-07"
15766205,"Basic","N2",66,1,"2024-11-27"
15771873,"Basic","W1",68,1,"2023-12-24"
15616550,"Basic","N1",12,0,"2023-08-30"
15683553,"Premium","S1",75,1,"2023-02-20"
15702298,"Plus","N1",68,1,"2024-02-29"
15569590,"Premium","N2",43,0,"2023-05-07"
15760861,"Premium","N3",73,0,"2023-04-13"
15630053,"Plus","N2",74,0,"2024-04-21"
15647091,"Premium","S2",91,1,"2023-08-17"
15623944,"Basic","S1",6,0,"2024-12-23"
15804771,"Basic","N2",15,0,"2024-03-11"
15651280,"Basic","N3",42,0,"2024-01-20"
15773469,"Basic","N1",31,0,"2023-03-26"
15702014,"Basic","S1",86,0,"2023-12-25"
15751208,"Basic","W1",53,0,"2025-02-24"
15592461,"Plus","N2",6,1,"2023-01-27"
15789484,"Basic","N3",33,1,"2025-05-09"
15696061,"Basic","N2",29,0,"2023-03-13"
15641582,"Basic","S2",21,0,"2023-04-05"
15638424,"Basic","S1",54,0,"2024-08-10"
15755648,"Plus","N1",56,1,"2024-03-01"
15703793,"Basic","N3",94,0,"2023-01-06"
